uuid,annotation,node_order,is_attack_node,in_degree_subgraph,out_degree_subgraph,total_degree_subgraph,in_degree_full,out_degree_full,total_degree_full
73d47077-6ff4-4cc0-92ae-4b84f85bcce3,"{'subject': '""C:\\Users\\victim\\Downloads\\payload.exe"" '}",3497,True,0,7764,7764,0,7764,7764
b1fa8ddd-5e25-47cb-ba4a-cc6de63e1018,"{'subject': '""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe"" --no-startup-window'}",341,False,0,4,4,0,194,194
c6b0f6bd-5817-4edc-92f9-84351633fd17,"{'subject': '""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=zh-CN --service-sandbox-type=none --no-pre-read-main-dll --startup-read-main-dll --metrics-shmem-handle=2380'}",345,False,0,22,22,0,69,69
8f7b8f3d-d942-482f-9599-eeee90476914,{'subject': 'C:\\Windows\\Explorer.EXE'},286,False,0,3,3,0,52,52
1bcdc343-e5eb-433d-84d0-d0f70071f451,{'subject': 'consent.exe 9988 348 000001D65B4604C0'},3486,False,0,1,1,0,6,6
8549893f-77e1-473f-8310-529b9c7b18ee,{'subject': 'consent.exe 9988 408 000001D65B459AC0'},17490,False,0,1,1,0,6,6
27f75ff2-ca6e-42fb-9fcf-2d5f604998fe,{'file': 'C:\\Users\\victim\\Downloads\\payload.exe'},3454,True,5,0,5,5,0,5
ca7f8d08-a548-4c35-9a8c-84def9d31243,{'file': 'C:\\Users\\victim\\Downloads\\PLEASANT_ORDINARY.exe'},16589,True,4,0,4,4,0,4
0fa8a319-03f4-479b-a0bd-ce70191d1004,{'file': 'C:\\Windows\\SysWOW64\\cmd.exe'},2441,False,1,0,1,3,0,3
ee56298b-909a-4b79-8057-d401c2d3ffa5,{'file': 'C:\\Users\\victim\\Downloads\\未确认 837092.crdownload'},3441,False,1,1,2,2,1,3
7b54d20a-2d9e-4624-8aa2-c1a931b8b8b3,{'file': 'C:\\Users\\victim\\Downloads\\未确认 196120.crdownload'},16252,False,1,1,2,2,1,3
65325b67-9530-48bb-9e74-812a8031c284,{'file': 'C:\\Windows\\SystemApps\\Microsoft.Windows.FilePicker_cw5n1h2txyewy\\Assets'},2034,False,1,0,1,2,0,2
2c5956bb-88c2-4af5-9fc3-87e03898cc90,{'file': 'C:\\Windows\\SystemApps\\Microsoft.Windows.FileExplorer_cw5n1h2txyewy\\Assets'},2042,False,1,0,1,2,0,2
f2adf155-eafe-4f4b-af87-819ff00da9d1,{'file': 'C:\\Windows\\SystemApps\\Microsoft.Windows.AddSuggestedFoldersToLibraryDialog_cw5n1h2txyewy\\Assets'},2059,False,1,0,1,2,0,2
